"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1"
NA,NA,NA,NA,"aqy2","yll052c","ORF","35912-36361","-","XII","yll052c",-58.5723518427051
NA,NA,NA,NA,"tim9","yel020w-a","ORF","117211-117474","+","V","yel020w-a",-58.6266476254973
NA,NA,NA,NA,"ydr008c","ydr008c","ORF","462252-462602","-","IV","ydr008c",-58.7277172000652
NA,NA,NA,NA,"ysp3","yor003w","ORF","331455-332891","+","XV","yor003w",-59.102368356862
NA,NA,NA,NA,"cdc7","ydl017w","ORF","424209-425732","+","IV","ydl017w",-59.1307506032856
NA,NA,NA,NA,"kre28","ydr532c","ORF","1499396-1500553","-","IV","ydr532c",-59.2579209166721
"tos8",0,0.5,0.5,"tos8","ygl096w","ORF","325331-326161","+","VII","ygl096w",-59.2743828796082
NA,NA,NA,NA,"ylr126c","ylr126c","ORF","394765-395520","-","XII","ylr126c",-59.3695163608299
NA,NA,NA,NA,"dsk2","ymr276w","ORF","818827-819948","+","XIII","ymr276w",-59.3720053833132
NA,NA,NA,NA,"cue1","ymr264w","ORF","795805-796416","+","XIII","ymr264w",-59.5144418060323
NA,NA,NA,NA,"ypr039w","ypr039w","ORF","647012-647347","+","XVI","ypr039w",-59.5383547343766
NA,NA,NA,NA,"yil161w","yil161w","ORF","39433-40140","+","IX","yil161w",-59.5945387944172
NA,NA,NA,NA,"aim11","yer093c-a","ORF","347912-348400","-","V","yer093c-a",-59.6121604406572
NA,NA,NA,NA,"tim44","yil022w","ORF","311165-312460","+","IX","yil022w",-59.8458817636833
NA,NA,NA,NA,"mim2","ylr099w-a","ORF","341325-341588","+","XII","ylr099w-a",-59.8843121278622
NA,NA,NA,NA,"yll037w","yll037w","ORF","66562-66942","+","XII","yll037w",-59.9063265761984
NA,NA,NA,NA,"ppt2","ypl148c","ORF","272294-272815","-","XVI","ypl148c",-60.0700521249076
NA,NA,NA,NA,"yml094c-a","yml094c-a","ORF","82219-82620","-","XIII","yml094c-a",-60.7770442478619
NA,NA,NA,NA,"rio1","yor119c","ORF","548792-550246","-","XV","yor119c",-60.8020887425308
NA,NA,NA,NA,"ylr202c","ylr202c","ORF","550194-550636","-","XII","ylr202c",-60.8364000599347
NA,NA,NA,NA,"rnh202","ydr279w","ORF","1019368-1020420","+","IV","ydr279w",-60.8726602709803
NA,NA,NA,NA,"qdr3","ybr043c","ORF","321876-323945","-","II","ybr043c",-60.9319922595496
NA,NA,NA,NA,"gcd7","ylr291c","ORF","718317-719462","-","XII","ylr291c",-61.0870378126249
NA,NA,NA,NA,"tim23","ynr017w","ORF","662913-663581","+","XIV","ynr017w",-61.2991124738415
NA,NA,NA,NA,"gpi17","ydr434w","ORF","1331237-1332841","+","IV","ydr434w",-61.3724822734625
NA,NA,NA,NA,"dur3","yhl016c","ORF","72037-74244","-","VIII","yhl016c",-61.4374459104025
NA,NA,NA,NA,"yae1","yjr067c","ORF","567019-567444","-","X","yjr067c",-61.4567048769589
NA,NA,NA,NA,"ypr169w-a","ypr169w-a","ORF","883239-883457","+","XVI","ypr169w-a",-61.5229860454475
NA,NA,NA,NA,"cpr1","ydr155c","ORF","768512-769000","-","IV","ydr155c",-61.545569880944
NA,NA,NA,NA,"bit2","ybr270c","ORF","742761-744398","-","II","ybr270c",-61.7314324447447
NA,NA,NA,NA,"ypl034w","ypl034w","ORF","486712-487209","+","XVI","ypl034w",-61.7696441200422
NA,NA,NA,NA,"tti2","yjr136c","ORF","677441-678706","-","X","yjr136c",-61.9153398613666
NA,NA,NA,NA,"mas2","yhr024c","ORF","157744-159192","-","VIII","yhr024c",-61.9625473139006
NA,NA,NA,NA,"mrpl23","yor150w","ORF","611999-612490","+","XV","yor150w",-62.0469035857935
NA,NA,NA,NA,"rrp6","yor001w","ORF","326832-329033","+","XV","yor001w",-62.3345452288683
NA,NA,NA,NA,"kex1","ygl203c","ORF","112475-114664","-","VII","ygl203c",-62.3462560652998
NA,NA,NA,NA,"met30","yil046w","ORF","268651-270573","+","IX","yil046w",-62.4052137467318
NA,NA,NA,NA,"pdx1","ygr193c","ORF","884509-885741","-","VII","ygr193c",-62.5180147760908
"elp4",0,1,0,"elp4","ypl101w","ORF","360209-361579","+","XVI","ypl101w",-62.5519224695192
NA,NA,NA,NA,"nrg2","ybr066c","ORF","370037-370699","-","II","ybr066c",-62.5626516098609
NA,NA,NA,NA,"rft1","ybl020w","ORF","182401-184125","+","II","ybl020w",-62.7978153493603
NA,NA,NA,NA,"tlg1","ydr468c","ORF","1398026-1398700","-","IV","ydr468c",-62.8434619932813
NA,NA,NA,NA,"bye1","ykl005c","ORF","433093-434877","-","XI","ykl005c",-63.1107786411781
"spp1",0,0,0,"spp1","ypl138c","ORF","291366-292427","-","XVI","ypl138c",-63.3019159099653
NA,NA,NA,NA,"ydr274c","ydr274c","ORF","1011589-1011960","-","IV","ydr274c",-63.4191957652293
NA,NA,NA,NA,"mak11","ykl021c","ORF","397344-398750","-","XI","ykl021c",-63.6261656426572
NA,NA,NA,NA,"yhc1","ylr298c","ORF","724721-725416","-","XII","ylr298c",-63.6271575673037
NA,NA,NA,NA,"nop6","ydl213c","ORF","77289-77966","-","IV","ydl213c",-63.6349503745881
NA,NA,NA,NA,"ydr413c","ydr413c","ORF","1294836-1295411","-","IV","ydr413c",-63.7530842038126
NA,NA,NA,NA,"ynl050c","ynl050c","ORF","534079-534982","-","XIV","ynl050c",-63.9223687548283
NA,NA,NA,NA,"atg38","ylr211c","ORF","563792-564531","-","XII","ylr211c",-63.9523974031438
NA,NA,NA,NA,"tim18","yor297c","ORF","874743-875321","-","XV","yor297c",-63.9886560249593
NA,NA,NA,NA,"asn2","ygr124w","ORF","739944-741662","+","VII","ygr124w",-64.1484412636208
NA,NA,NA,NA,"rdi1","ydl135c","ORF","218680-219288","-","IV","ydl135c",-64.3858305336077
NA,NA,NA,NA,"mgm1","yor211c","ORF","738924-741569","-","XV","yor211c",-64.4472391568143
NA,NA,NA,NA,"npa3","yjr072c","ORF","570967-572124","-","X","yjr072c",-64.4620455657466
NA,NA,NA,NA,"trm12","yml005w","ORF","260221-261609","+","XIII","yml005w",-64.5002294196362
NA,NA,NA,NA,"ypl108w","ypl108w","ORF","348446-348952","+","XVI","ypl108w",-64.8518333751661
NA,NA,NA,NA,"rrp7","ycl031c","ORF","64675-65568","-","III","ycl031c",-65.0070307228324
NA,NA,NA,NA,"ydr053w","ydr053w","ORF","560249-560644","+","IV","ydr053w",-65.2529906363799
NA,NA,NA,NA,"cdc8","yjr057w","ORF","544062-544712","+","X","yjr057w",-65.2620448513131
NA,NA,NA,NA,"ept1","yhr123w","ORF","354815-356081","+","VIII","yhr123w",-65.3262496933244
NA,NA,NA,NA,"ybr099c","ybr099c","ORF","442924-443307","-","II","ybr099c",-65.3695923610227
"pcp1",0,0,1,"pcp1","ygr101w","ORF","693363-694403","+","VII","ygr101w",-65.4907916762342
"lin1",0,1,0,"lin1","yhr156c","ORF","411384-412406","-","VIII","yhr156c",-65.4938853139599
NA,NA,NA,NA,"pex31","ygr004w","ORF","502938-504326","+","VII","ygr004w",-65.5074353843698
NA,NA,NA,NA,"vps28","ypl065w","ORF","427927-428655","+","XVI","ypl065w",-65.519483353586
NA,NA,NA,NA,"pal1","ydr348c","ORF","1170326-1171825","-","IV","ydr348c",-65.5517939534696
NA,NA,NA,NA,"ynl205c","ynl205c","ORF","258155-258577","-","XIV","ynl205c",-65.5882144459512
NA,NA,NA,NA,"eps1","yil005w","ORF","345692-347797","+","IX","yil005w",-65.6171573561308
NA,NA,NA,NA,"aim1","yal046c","ORF","57029-57385","-","I","yal046c",-65.6612896681818
NA,NA,NA,NA,"lys5","ygl154c","ORF","215278-216096","-","VII","ygl154c",-66.0216409802401
NA,NA,NA,NA,"rfa1","yar007c","ORF","156754-158619","-","I","yar007c",-66.2720205018858
NA,NA,NA,NA,"ylr163w-a","ylr163w-a","ORF","492812-492925","+","XII","ylr163w-a",-66.4783699114887
NA,NA,NA,NA,"shs1","ydl225w","ORF","52445-54100","+","IV","ydl225w",-66.4994707438933
NA,NA,NA,NA,"pre6","yol038w","ORF","255337-256101","+","XV","yol038w",-66.5786542630972
NA,NA,NA,NA,"mdm38","yol027c","ORF","272003-273724","-","XV","yol027c",-66.5946077225414
NA,NA,NA,NA,"yjr111c","yjr111c","ORF","635855-636706","-","X","yjr111c",-66.7355490256417
"sir2",0.333333333333333,0.666666666666667,0,"sir2","ydl042c","ORF","376757-378445","-","IV","ydl042c",-66.7910066033165
NA,NA,NA,NA,"fyv8","ygr196c","ORF","889733-892186","-","VII","ygr196c",-66.8889047700274
NA,NA,NA,NA,"gab1","ylr459w","ORF","1057334-1058518","+","XII","ylr459w",-66.9278322465072
NA,NA,NA,NA,"seh1","ygl100w","ORF","313234-314283","+","VII","ygl100w",-66.9357620346329
NA,NA,NA,NA,"ypr123c","ypr123c","ORF","786141-786575","-","XVI","ypr123c",-66.9753460067351
NA,NA,NA,NA,"kar4","ycl055w","ORF","27929-28936","+","III","ycl055w",-67.0958284171464
NA,NA,NA,NA,"pth2","ybl057c","ORF","112801-113427","-","II","ybl057c",-67.1707891110609
NA,NA,NA,NA,"rrp17","ydr412w","ORF","1294693-1295400","+","IV","ydr412w",-67.2097001594741
NA,NA,NA,NA,"ybr242w","ybr242w","ORF","704670-705386","+","II","ybr242w",-67.3302578143766
NA,NA,NA,NA,"scs22","ybl091c-a","ORF","46565-47180","-","II","ybl091c-a",-67.4896205242558
NA,NA,NA,NA,"ylr154c-h","ylr154c-h","ORF","468827-468958","-","XII","ylr154c-h",-67.5601933294579
NA,NA,NA,NA,"erg7","yhr072w","ORF","239098-241293","+","VIII","yhr072w",-67.6069647966654
"cup9",0,0,1,"cup9","ypl177c","ORF","213042-213962","-","XVI","ypl177c",-67.6648755690989
NA,NA,NA,NA,"ygr219w","ygr219w","ORF","936035-936376","+","VII","ygr219w",-67.7155499261942
NA,NA,NA,NA,"bna4","ybl098w","ORF","39145-40527","+","II","ybl098w",-67.8475948573532
NA,NA,NA,NA,"csm1","ycr086w","ORF","263392-263964","+","III","ycr086w",-67.8629777630249
NA,NA,NA,NA,"med4","yor174w","ORF","658747-659601","+","XV","yor174w",-67.9330490921215
NA,NA,NA,NA,"gep4","yhr100c","ORF","314116-314673","-","VIII","yhr100c",-68.0464449367549
NA,NA,NA,NA,"mhf1","yol086w-a","ORF","159173-159445","+","XV","yol086w-a",-68.0747684005458
NA,NA,NA,NA,"spb4","yfl002c","ORF","145114-146934","-","VI","yfl002c",-68.1792387562169
"iki3",0,1,0,"iki3","ylr384c","ORF","888851-892900","-","XII","ylr384c",-68.232664786172
NA,NA,NA,NA,"mrpl15","ylr312w-a","ORF","759480-760241","+","XII","ylr312w-a",-68.3355054299764
NA,NA,NA,NA,"amd2","ydr242w","ORF","946807-948456","+","IV","ydr242w",-68.457575700763
NA,NA,NA,NA,"shu1","yhl006c","ORF","98343-98795","-","VIII","yhl006c",-68.5329706640789
NA,NA,NA,NA,"yor097c","yor097c","ORF","506978-507505","-","XV","yor097c",-68.5340933697121
NA,NA,NA,NA,"tma22","yjr014w","ORF","461829-462425","+","X","yjr014w",-68.5812774784071
NA,NA,NA,NA,"prp39","yml046w","ORF","181474-183363","+","XIII","yml046w",-68.6423500821931
NA,NA,NA,NA,"cos6","ygr295c","ORF","1081584-1082729","-","VII","ygr295c",-68.9072062778078
NA,NA,NA,NA,"far3","ymr052w","ORF","379586-380200","+","XIII","ymr052w",-68.9768429460334
NA,NA,NA,NA,"hri1","ylr301w","ORF","730825-731559","+","XII","ylr301w",-68.9816634486133
NA,NA,NA,NA,"ina22","yir024c","ORF","402841-403491","-","IX","yir024c",-69.0491176060394
NA,NA,NA,NA,"erd2","ybl040c","ORF","142112-142868","-","II","ybl040c",-69.2421119009504
NA,NA,NA,NA,"csn9","ydr179c","ORF","818708-819196","-","IV","ydr179c",-69.2989860141516
NA,NA,NA,NA,"ydl158c","ydl158c","ORF","173866-174174","-","IV","ydl158c",-69.6660433182779
NA,NA,NA,NA,"adh4","ygl256w","ORF","15159-16307","+","VII","ygl256w",-69.6851175188266
NA,NA,NA,NA,"vps68","yol129w","ORF","77560-78114","+","XV","yol129w",-69.6970545352174
NA,NA,NA,NA,"pet130","yjl023c","ORF","397355-398398","-","X","yjl023c",-69.7849491746332
NA,NA,NA,NA,"psh1","yol054w","ORF","228614-229834","+","XV","yol054w",-69.8738503501275
NA,NA,NA,NA,"ylr118c","ylr118c","ORF","384725-385408","-","XII","ylr118c",-69.9783198639249
NA,NA,NA,NA,"dal80","ykr034w","ORF","506898-507707","+","XI","ykr034w",-70.1528036689214
NA,NA,NA,NA,"ymr245w","ymr245w","ORF","758563-759183","+","XIII","ymr245w",-70.2509676731626
"caj1",0,0,1,"caj1","yer048c","ORF","246982-248157","-","V","yer048c",-70.272836868593
NA,NA,NA,NA,"spc19","ydr201w","ORF","856317-856814","+","IV","ydr201w",-70.2900707010462
NA,NA,NA,NA,"spc2","yml055w","ORF","164790-165326","+","XIII","yml055w",-70.4120524322437
"paa1",0,0,1,"paa1","ydr071c","ORF","588827-589402","-","IV","ydr071c",-70.4713196718111
NA,NA,NA,NA,"dph5","ylr172c","ORF","501260-502162","-","XII","ylr172c",-70.9328960364439
NA,NA,NA,NA,"rml2","yel050c","ORF","59670-60851","-","V","yel050c",-70.9948777317714
NA,NA,NA,NA,"erg29","ymr134w","ORF","537838-538551","+","XIII","ymr134w",-71.344189546038
NA,NA,NA,NA,"gts1","ygl181w","ORF","157906-159096","+","VII","ygl181w",-71.3700820950437
NA,NA,NA,NA,"trs20","ybr254c","ORF","723736-724263","-","II","ybr254c",-71.4067432952369
"pfa5",0,0,1,"pfa5","ydr459c","ORF","1382319-1383443","-","IV","ydr459c",-71.7551109644338
NA,NA,NA,NA,"fmp32","yfl046w","ORF","42815-43438","+","VI","yfl046w",-71.9294716951359
NA,NA,NA,NA,"anr2","ykl047w","ORF","349463-351013","+","XI","ykl047w",-72.0513111865359
"ctr1",0.333333333333333,0,0.666666666666667,"ctr1","ypr124w","ORF","786208-787428","+","XVI","ypr124w",-72.1565407553632
"aim36",0,0,1,"aim36","ymr157c","ORF","571277-572044","-","XIII","ymr157c",-72.51594425311
NA,NA,NA,NA,"mrpl36","ybr122c","ORF","483970-484503","-","II","ybr122c",-72.862830080342
NA,NA,NA,NA,"alr2","yfl050c","ORF","33272-35848","-","VI","yfl050c",-72.8876056414694
"vac17",0,0,1,"vac17","ycl063w","ORF","17290-18561","+","III","ycl063w",-72.900241578242
NA,NA,NA,NA,"prp3","ydr473c","ORF","1404445-1405854","-","IV","ydr473c",-72.921455797133
NA,NA,NA,NA,"pho5","ybr093c","ORF","429548-430951","-","II","ybr093c",-72.9511671317356
NA,NA,NA,NA,"scl1","ygl011c","ORF","474489-475247","-","VII","ygl011c",-72.952176936
NA,NA,NA,NA,"mhf2","ydl160c-a","ORF","169366-169608","-","IV","ydl160c-a",-73.0280283968931
NA,NA,NA,NA,"nbp35","ygl091c","ORF","342056-343042","-","VII","ygl091c",-73.0773070407182
NA,NA,NA,NA,"lpl1","yor059c","ORF","438906-440258","-","XV","yor059c",-73.1394176018505
NA,NA,NA,NA,"rnh70","ygr276c","ORF","1043819-1045480","-","VII","ygr276c",-73.1867525510226
NA,NA,NA,NA,"swm1","ydr260c","ORF","976717-977229","-","IV","ydr260c",-73.1963949312447
NA,NA,NA,NA,"cak1","yfl029c","ORF","78055-79161","-","VI","yfl029c",-73.2266500992639
NA,NA,NA,NA,"ynl181w","ynl181w","ORF","298335-299558","+","XIV","ynl181w",-73.2456987790732
NA,NA,NA,NA,"tad2","yjl035c","ORF","380249-381001","-","X","yjl035c",-73.2499688373829
NA,NA,NA,NA,"ydl177c","ydl177c","ORF","141209-141721","-","IV","ydl177c",-73.28728819984
NA,NA,NA,NA,"mtc3","ygl226w","ORF","73340-73711","+","VII","ygl226w",-73.4536142967826
NA,NA,NA,NA,"alg7","ybr243c","ORF","705447-706793","-","II","ybr243c",-73.7723299971031
NA,NA,NA,NA,"age2","yil044c","ORF","272950-273846","-","IX","yil044c",-74.0293485050064
NA,NA,NA,NA,"cdc36","ydl165w","ORF","164290-164865","+","IV","ydl165w",-74.681677062173
NA,NA,NA,NA,"yif1","ynl263c","ORF","146896-147840","-","XIV","ynl263c",-74.6986278555105
NA,NA,NA,NA,"yil089w","yil089w","ORF","195599-196216","+","IX","yil089w",-74.7332920645338
NA,NA,NA,NA,"mvb12","ygr206w","ORF","910432-910737","+","VII","ygr206w",-75.0176514509014
NA,NA,NA,NA,"thg1","ygr024c","ORF","531883-532596","-","VII","ygr024c",-75.1717963775035
NA,NA,NA,NA,"rat1","yor048c","ORF","418630-421650","-","XV","yor048c",-75.313839603341
NA,NA,NA,NA,"pdc5","ylr134w","ORF","410723-412414","+","XII","ylr134w",-75.4717608181932
NA,NA,NA,NA,"nsa1","ygl111w","ORF","299978-301369","+","VII","ygl111w",-75.4805798247286
NA,NA,NA,NA,"pex7","ydr142c","ORF","740473-741600","-","IV","ydr142c",-75.5753237550375
NA,NA,NA,NA,"rrn3","ykl125w","ORF","208247-210130","+","XI","ykl125w",-75.8107789028806
NA,NA,NA,NA,"pho90","yjl198w","ORF","60844-63489","+","X","yjl198w",-75.9797170384658
"phb1",0.5,0,0.5,"phb1","ygr132c","ORF","755589-756452","-","VII","ygr132c",-76.0997073236448
"rrd2",0,0,1,"rrd2","ypl152w","ORF","265028-266104","+","XVI","ypl152w",-76.2909916507524
"taf14",0,0.5,0.5,"taf14","ypl129w","ORF","305298-306137","+","XVI","ypl129w",-76.3885633122338
NA,NA,NA,NA,"ymr155w","ymr155w","ORF","568551-570194","+","XIII","ymr155w",-76.4294518673134
NA,NA,NA,NA,"ist1","ynl265c","ORF","144280-145281","-","XIV","ynl265c",-76.5866901180767
"pho2",0,0,1,"pho2","ydl106c","ORF","270222-271901","-","IV","ydl106c",-76.7260175470786
NA,NA,NA,NA,"str2","yjr130c","ORF","665218-667137","-","X","yjr130c",-76.9216058393776
NA,NA,NA,NA,"cdc37","ydr168w","ORF","790328-791848","+","IV","ydr168w",-76.9479679164292
NA,NA,NA,NA,"pcc1","ykr095w-a","ORF","625864-626205","+","XI","ykr095w-a",-76.9688830429968
"coa6",0,0,1,"coa6","ymr244c-a","ORF","758517-758831","-","XIII","ymr244c-a",-77.1424698478132
NA,NA,NA,NA,"mte1","ygr042w","ORF","579476-580291","+","VII","ygr042w",-77.1957692234244
NA,NA,NA,NA,"rna15","ygl044c","ORF","416146-417036","-","VII","ygl044c",-77.318718676596
NA,NA,NA,NA,"bet4","yjl031c","ORF","386368-387438","-","X","yjl031c",-77.3270801821255
NA,NA,NA,NA,"tfa1","ykl028w","ORF","385758-387206","+","XI","ykl028w",-77.401739361902
NA,NA,NA,NA,"imp1","ymr150c","ORF","561956-562528","-","XIII","ymr150c",-77.4917559675915
NA,NA,NA,NA,"ymr172c-a","ymr172c-a","ORF","607828-608211","-","XIII","ymr172c-a",-77.6257491289038
NA,NA,NA,NA,"got1","ymr292w","ORF","854795-855293","+","XIII","ymr292w",-77.6482973006061
NA,NA,NA,NA,"tfb4","ypr056w","ORF","671126-672142","+","XVI","ypr056w",-78.0047110948457
NA,NA,NA,NA,"pau5","yfl020c","ORF","99231-99599","-","VI","yfl020c",-78.1206038547513
NA,NA,NA,NA,"trm13","yol125w","ORF","83834-85264","+","XV","yol125w",-78.1802917942116
NA,NA,NA,NA,"erg4","ygl012w","ORF","472855-474276","+","VII","ygl012w",-78.1857005670089
"pep12",0,0,1,"pep12","yor036w","ORF","400348-401214","+","XV","yor036w",-78.1905032071163
NA,NA,NA,NA,"rnh1","ymr234w","ORF","740266-741312","+","XIII","ymr234w",-78.2210060520835
"rtg2",0,0,1,"rtg2","ygl252c","ORF","25718-27484","-","VII","ygl252c",-78.3169467348748
"vam3",0,0,1,"vam3","yor106w","ORF","519121-519972","+","XV","yor106w",-78.3595207942291
"mrpl17",0,0,1,"mrpl17","ynl252c","ORF","171441-172286","-","XIV","ynl252c",-78.4199853254382
"dcw1",0,1,0,"dcw1","ykl046c","ORF","351275-352624","-","XI","ykl046c",-78.4319818619902
NA,NA,NA,NA,"yil071w-a","yil071w-a","ORF","228550-229026","+","IX","yil071w-a",-78.5737131914958
NA,NA,NA,NA,"ylr342w-a","ylr342w-a","ORF","815810-815983","+","XII","ylr342w-a",-78.6205887067624
NA,NA,NA,NA,"jip3","ylr331c","ORF","790669-791046","-","XII","ylr331c",-78.7167649479306
NA,NA,NA,NA,"ste50","ycl032w","ORF","63441-64481","+","III","ycl032w",-78.727186792146
NA,NA,NA,NA,"srp21","ykl122c","ORF","212495-212998","-","XI","ykl122c",-78.7383670758861
NA,NA,NA,NA,"ygl117w","ygl117w","ORF","288512-289309","+","VII","ygl117w",-78.7842233097897
NA,NA,NA,NA,"rna14","ymr061w","ORF","392755-394788","+","XIII","ymr061w",-78.8078616994079
NA,NA,NA,NA,"eaf5","yel018w","ORF","121471-122310","+","V","yel018w",-78.9268336256337
NA,NA,NA,NA,"prs4","ybl068w","ORF","92414-93394","+","II","ybl068w",-78.9740247562411
NA,NA,NA,NA,"asg7","yjl170c","ORF","101150-101779","-","X","yjl170c",-79.1759377437956
NA,NA,NA,NA,"cbp3","ypl215w","ORF","147416-148423","+","XVI","ypl215w",-79.4341571981813
NA,NA,NA,NA,"dbf4","ydr052c","ORF","558511-560625","-","IV","ydr052c",-79.4936658307826
NA,NA,NA,NA,"blm10","yfl007w","ORF","123479-129910","+","VI","yfl007w",-79.6446867285727
NA,NA,NA,NA,"efm4","yil064w","ORF","241943-242716","+","IX","yil064w",-79.8023433244395
NA,NA,NA,NA,"gas3","ymr215w","ORF","696796-698370","+","XIII","ymr215w",-79.8072783939177
"sgt2",0,0,1,"sgt2","yor007c","ORF","338938-339978","-","XV","yor007c",-79.8234235478362
NA,NA,NA,NA,"fet5","yfl041w","ORF","49139-51007","+","VI","yfl041w",-79.8259089599305
NA,NA,NA,NA,"yol036w","yol036w","ORF","256745-259030","+","XV","yol036w",-79.8728837828178
NA,NA,NA,NA,"ypl261c","ypl261c","ORF","48996-49304","-","XVI","ypl261c",-79.937754161967
NA,NA,NA,NA,"mmo1","ykl044w","ORF","356322-356642","+","XI","ykl044w",-80.2285965752214
NA,NA,NA,NA,"ynr042w","ynr042w","ORF","701238-701666","+","XIV","ynr042w",-80.2691774279004
NA,NA,NA,NA,"atp11","ynl315c","ORF","43324-44280","-","XIV","ynl315c",-80.4870498704673
NA,NA,NA,NA,"hap5","yor358w","ORF","1010161-1010889","+","XV","yor358w",-80.5036337527422
NA,NA,NA,NA,"ntf2","yer009w","ORF","172115-172492","+","V","yer009w",-80.5376070791234
NA,NA,NA,NA,"nkp1","ydr383c","ORF","1239960-1240676","-","IV","ydr383c",-80.7376926304813
NA,NA,NA,NA,"prp45","yal032c","ORF","83335-84474","-","I","yal032c",-80.7851457084958
"shm1",0,0.5,0.5,"shm1","ybr263w","ORF","736264-737736","+","II","ybr263w",-80.9437007850275
NA,NA,NA,NA,"mrp21","ybl090w","ORF","48825-49358","+","II","ybl090w",-80.9826268822911
NA,NA,NA,NA,"ggc1","ydl198c","ORF","103649-104551","-","IV","ydl198c",-81.0525574923669
NA,NA,NA,NA,"gat2","ymr136w","ORF","541199-542881","+","XIII","ymr136w",-81.0964704346301
NA,NA,NA,NA,"gvp36","yil041w","ORF","276525-277505","+","IX","yil041w",-81.2336932059239
"sch9",0,1,0,"sch9","yhr205w","ORF","509363-511837","+","VIII","yhr205w",-81.2575427690412
NA,NA,NA,NA,"yer137w-a","yer137w-a","ORF","441575-441880","+","V","yer137w-a",-81.4008531281523
NA,NA,NA,NA,"put2","yhr037w","ORF","181977-183704","+","VIII","yhr037w",-81.4293190350301
"mba1",0,0.5,0.5,"mba1","ybr185c","ORF","599123-599959","-","II","ybr185c",-81.4519565598481
NA,NA,NA,NA,"rio2","ynl207w","ORF","255353-256630","+","XIV","ynl207w",-81.45223164899
NA,NA,NA,NA,"ynl109w","ynl109w","ORF","418964-419509","+","XIV","ynl109w",-81.5371552150135
NA,NA,NA,NA,"mrpl25","ygr076c","ORF","637104-637577","-","VII","ygr076c",-81.7518233796475
NA,NA,NA,NA,"ygr051c","ygr051c","ORF","592906-593229","-","VII","ygr051c",-81.8392317420033
NA,NA,NA,NA,"ypr002c-a","ypr002c-a","ORF","560569-560766","-","XVI","ypr002c-a",-82.3676317192489
NA,NA,NA,NA,"dga1","yor245c","ORF","794076-795332","-","XV","yor245c",-82.4457801181441
NA,NA,NA,NA,"csr1","ylr380w","ORF","878282-879508","+","XII","ylr380w",-82.7408457450749
NA,NA,NA,NA,"prs2","yer099c","ORF","358105-359061","-","V","yer099c",-82.8925496474665
NA,NA,NA,NA,"iki1","yhr187w","ORF","480990-481919","+","VIII","yhr187w",-82.9211255333684
NA,NA,NA,NA,"pre5","ymr314w","ORF","901709-902413","+","XIII","ymr314w",-83.100453948457
NA,NA,NA,NA,"hit1","yjr055w","ORF","538772-539266","+","X","yjr055w",-83.329495845558
NA,NA,NA,NA,"fad1","ydl045c","ORF","372688-373608","-","IV","ydl045c",-83.3579722575128
NA,NA,NA,NA,"asp1","ydr321w","ORF","1108702-1109847","+","IV","ydr321w",-83.3635048441183
NA,NA,NA,NA,"yjl009w","yjl009w","ORF","419855-420181","+","X","yjl009w",-83.5563267620824
NA,NA,NA,NA,"cue4","yml101c","ORF","69735-70088","-","XIII","yml101c",-83.5903728718037
NA,NA,NA,NA,"rrp43","ycr035c","ORF","191834-193018","-","III","ycr035c",-83.786322638274
NA,NA,NA,NA,"pam18","ylr008c","ORF","165577-166083","-","XII","ylr008c",-83.8197926548832
NA,NA,NA,NA,"tsc10","ybr265w","ORF","738582-739544","+","II","ybr265w",-83.9171268048081
NA,NA,NA,NA,"ups1","ylr193c","ORF","540009-540536","-","XII","ylr193c",-84.0017851372491
NA,NA,NA,NA,"clf1","ylr117c","ORF","382471-384534","-","XII","ylr117c",-84.2925316279272
