"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1","T2"
NA,NA,NA,NA,"mrpl49","yjl096w","ORF","246490-246975","+","X","yjl096w",58.4847143462793,-39.7455984626696
NA,NA,NA,NA,"rna1","ymr235c","ORF","741512-742735","-","XIII","ymr235c",58.5810930649129,-126.396606175014
NA,NA,NA,NA,"pgc1","ypl206c","ORF","162632-163597","-","XVI","ypl206c",58.6861985775493,14.7317574519082
NA,NA,NA,NA,"dsk2","ymr276w","ORF","818827-819948","+","XIII","ymr276w",58.7152697318399,-0.656735651473284
NA,NA,NA,NA,"hsp31","ydr533c","ORF","1501447-1502160","-","IV","ydr533c",58.7394150987558,60.0639620224237
NA,NA,NA,NA,"ddp1","yor163w","ORF","642741-643307","+","XV","yor163w",59.1483095022271,-26.9457254139803
NA,NA,NA,NA,"ybr121c-a","ybr121c-a","ORF","482326-482484","-","II","ybr121c-a",59.3086890818534,-216.756936891453
NA,NA,NA,NA,"frq1","ydr373w","ORF","1222759-1223331","+","IV","ydr373w",59.3748191829468,-40.1012679321157
"yer186c",0,1,0,"yer186c","yer186c","ORF","561705-562625","-","V","yer186c",59.4073039178758,-32.9991344028465
NA,NA,NA,NA,"pet123","yor158w","ORF","632164-633120","+","XV","yor158w",59.4334193871924,-41.7351582029893
NA,NA,NA,NA,"ykr018c","ykr018c","ORF","473723-475900","-","XI","ykr018c",59.4469733710126,7.23340752625732
NA,NA,NA,NA,"cdc28","ybr160w","ORF","560078-560974","+","II","ybr160w",59.5657500861302,-53.9364650249047
NA,NA,NA,NA,"gtt2","yll060c","ORF","21138-21839","-","XII","yll060c",59.6407649990868,-33.6371469398335
NA,NA,NA,NA,"env10","ylr065c","ORF","266373-266918","-","XII","ylr065c",59.6737880839256,-102.810413922602
NA,NA,NA,NA,"sec11","yir022w","ORF","398733-399236","+","IX","yir022w",59.7437322463142,-37.8989104935278
NA,NA,NA,NA,"ykl053w","ykl053w","ORF","339572-339946","+","XI","ykl053w",59.917807310654,-56.5779680464545
NA,NA,NA,NA,"fth1","ybr207w","ORF","635146-636543","+","II","ybr207w",59.9293186313315,-34.9382643530771
NA,NA,NA,NA,"mrps5","ybr251w","ORF","721390-722313","+","II","ybr251w",60.0763091345897,-61.4367109586691
NA,NA,NA,NA,"aim1","yal046c","ORF","57029-57385","-","I","yal046c",60.1849428271218,-5.4763468410599
NA,NA,NA,NA,"meu1","ylr017w","ORF","177608-178621","+","XII","ylr017w",60.3450222711636,-144.044714307647
NA,NA,NA,NA,"fad1","ydl045c","ORF","372688-373608","-","IV","ydl045c",60.4744527467891,-22.8835195107237
NA,NA,NA,NA,"lea1","ypl213w","ORF","150614-151330","+","XVI","ypl213w",60.5857252930857,-78.735238070325
"caj1",0,0,1,"caj1","yer048c","ORF","246982-248157","-","V","yer048c",60.6160864551856,-9.65675041340745
NA,NA,NA,NA,"ccc1","ylr220w","ORF","576825-577793","+","XII","ylr220w",60.840951087264,-38.795420447928
NA,NA,NA,NA,"dss4","ypr017c","ORF","593486-593917","-","XVI","ypr017c",60.8550364752013,-36.973088923321
NA,NA,NA,NA,"pex15","yol044w","ORF","247150-248301","+","XV","yol044w",61.0338362823141,-65.0832994816058
NA,NA,NA,NA,"gvp36","yil041w","ORF","276525-277505","+","IX","yil041w",61.1203340364475,-20.1133591694765
NA,NA,NA,NA,"yil152w","yil152w","ORF","56545-57252","+","IX","yil152w",61.2179834721461,-37.9398842300858
"sys1",0,0,1,"sys1","yjl004c","ORF","431589-432200","-","X","yjl004c",61.2298885629581,-27.8437636488038
NA,NA,NA,NA,"mrps8","ymr158w","ORF","572248-572715","+","XIII","ymr158w",61.327363184136,-40.1304039549594
"rps26b",0,1,0,"rps26b","yer131w","ORF","423952-424311","+","V","yer131w",61.5497527149506,-1018.24031815878
NA,NA,NA,NA,"yil024c","yil024c","ORF","308602-309171","-","IX","yil024c",61.573150869967,-27.7308602146984
NA,NA,NA,NA,"yil058w","yil058w","ORF","246914-247198","+","IX","yil058w",61.6904611165733,-58.5254834127959
NA,NA,NA,NA,"rps28a","yor167c","ORF","648804-649007","-","XV","yor167c",61.70401088537,-504.154711992633
NA,NA,NA,NA,"rpe1","yjl121c","ORF","190374-191090","-","X","yjl121c",61.8236600086591,-69.6851309442128
"shg1",0,0,1,"shg1","ybr258c","ORF","729734-730162","-","II","ybr258c",61.8720123543804,-55.0464656151119
"pex25",0,1,0,"pex25","ypl112c","ORF","337436-338620","-","XVI","ypl112c",61.9181800535407,-83.8548082729635
"pex14",0,0,1,"pex14","ygl153w","ORF","216273-217298","+","VII","ygl153w",61.9846169542309,-49.1200769605756
NA,NA,NA,NA,"lia1","yjr070c","ORF","569621-570598","-","X","yjr070c",62.0019127008624,-413.816703280215
NA,NA,NA,NA,"aim46","yhr199c","ORF","497490-498422","-","VIII","yhr199c",62.0377757270963,5.60869499111308
NA,NA,NA,NA,"kae1","ykr038c","ORF","511999-513159","-","XI","ykr038c",62.2493067878184,-62.5854953219706
NA,NA,NA,NA,"ptp1","ydl230w","ORF","42700-43707","+","IV","ydl230w",62.297190849926,-23.2793905580195
NA,NA,NA,NA,"ybl036c","ybl036c","ORF","150447-151220","-","II","ybl036c",62.5405052936611,-83.4056172651227
NA,NA,NA,NA,"mrx7","ynl211c","ORF","250055-250315","-","XIV","ynl211c",62.5612062588635,-58.0329402011981
NA,NA,NA,NA,"rrp40","yol142w","ORF","55558-56280","+","XV","yol142w",62.5919294713939,-91.6751913706564
NA,NA,NA,NA,"ylr146w-a","ylr146w-a","ORF","433870-434058","+","XII","ylr146w-a",62.9888460239665,-90.1129366482748
NA,NA,NA,NA,"spc25","yer018c","ORF","191959-192624","-","V","yer018c",63.2225110104509,-28.9071238608842
NA,NA,NA,NA,"dal5","yjr152w","ORF","719666-721297","+","X","yjr152w",63.2317357739371,-24.6848520704021
NA,NA,NA,NA,"spe4","ylr146c","ORF","432823-433725","-","XII","ylr146c",63.3180089103157,-108.420563475385
NA,NA,NA,NA,"prs1","ykl181w","ORF","107316-108599","+","XI","ykl181w",63.5348976560935,-201.00146105043
NA,NA,NA,NA,"yng1","yor064c","ORF","446079-446738","-","XV","yor064c",63.5673464228447,-57.2671751167529
NA,NA,NA,NA,"ynl303w","ynl303w","ORF","61510-61857","+","XIV","ynl303w",63.6262131050096,-94.9061438184492
NA,NA,NA,NA,"ssl1","ylr005w","ORF","160049-161434","+","XII","ylr005w",63.6629622521951,-46.941671153726
"pau2",0,0,1,"pau2","yel049w","ORF","63728-64090","+","V","yel049w",63.7546383855699,-60.3104490849074
NA,NA,NA,NA,"mch1","ydl054c","ORF","359825-361285","-","IV","ydl054c",63.804088621708,-45.4597307579251
NA,NA,NA,NA,"oca4","ycr095c","ORF","288170-289258","-","III","ycr095c",63.9016710939557,-79.7506667253069
NA,NA,NA,NA,"pet18","ycr020c","ORF","154012-154659","-","III","ycr020c",64.0511181021973,-96.0972037027407
NA,NA,NA,NA,"scl1","ygl011c","ORF","474489-475247","-","VII","ygl011c",64.1362425687848,-8.81593436721525
NA,NA,NA,NA,"glr1","ypl091w","ORF","375502-376953","+","XVI","ypl091w",64.1529307242354,-65.8699084007864
NA,NA,NA,NA,"mga2","yir033w","ORF","416124-419465","+","IX","yir033w",64.3169859056806,-47.6457624599635
NA,NA,NA,NA,"eht1","ybr177c","ORF","584807-586162","-","II","ybr177c",64.6000081024232,74.2955479043601
NA,NA,NA,NA,"mrpl50","ynr022c","ORF","669774-670193","-","XIV","ynr022c",64.6138375351402,-54.4667953027026
NA,NA,NA,NA,"dad1","ydr016c","ORF","478474-478758","-","IV","ydr016c",64.6631713703637,-26.6532710766724
NA,NA,NA,NA,"yjl077w-a","yjl077w-a","ORF","294799-294885","+","X","yjl077w-a",64.8186271023654,-72.9646852072181
NA,NA,NA,NA,"imp1","ymr150c","ORF","561956-562528","-","XIII","ymr150c",64.9158216456229,-12.5759343219686
NA,NA,NA,NA,"ylr173w","ylr173w","ORF","502421-504247","+","XII","ylr173w",65.2152801807021,-41.7707685550982
NA,NA,NA,NA,"med11","ymr112c","ORF","494100-494495","-","XIII","ymr112c",65.2208055169026,-84.1389819713304
NA,NA,NA,NA,"ydr114c","ydr114c","ORF","681924-682226","-","IV","ydr114c",65.2346134943546,-37.57178045317
NA,NA,NA,NA,"loa1","ypr139c","ORF","813156-814058","-","XVI","ypr139c",65.3821134515394,-66.71825387875
NA,NA,NA,NA,"mrp49","ykl167c","ORF","133721-134134","-","XI","ykl167c",65.5001366470263,-36.1001945265815
NA,NA,NA,NA,"rnq1","ycl028w","ORF","70150-71367","+","III","ycl028w",65.6272965742572,-49.9518640125434
NA,NA,NA,NA,"oaz1","ypl052w","ORF","458799-459678","+","XVI","ypl052w",65.6386627870726,-94.9673676628332
NA,NA,NA,NA,"ist3","yir005w","ORF","364889-365335","+","IX","yir005w",65.6406533271055,-57.4364233601882
NA,NA,NA,NA,"opi1","yhl020c","ORF","66242-67456","-","VIII","yhl020c",65.727173542923,-52.1692964257026
NA,NA,NA,NA,"yng2","yhr090c","ORF","283777-284625","-","VIII","yhr090c",65.7552282380256,-86.9043647255547
NA,NA,NA,NA,"sua7","ypr086w","ORF","710101-711138","+","XVI","ypr086w",65.7569646093088,-76.0282908973106
NA,NA,NA,NA,"yil102c-a","yil102c-a","ORF","173365-173592","-","IX","yil102c-a",65.7878353266154,-33.2137202431986
NA,NA,NA,NA,"yer010c","yer010c","ORF","172634-173338","-","V","yer010c",65.798815816427,-41.6568536227556
NA,NA,NA,NA,"erg13","yml126c","ORF","19060-20535","-","XIII","yml126c",66.3052537847515,-86.8313967343151
NA,NA,NA,NA,"isy1","yjr050w","ORF","528697-529404","+","X","yjr050w",66.3921821240345,-82.1058088510531
NA,NA,NA,NA,"gts1","ygl181w","ORF","157906-159096","+","VII","ygl181w",66.4296106617985,-4.94047143324521
NA,NA,NA,NA,"emc6","yll014w","ORF","121322-121648","+","XII","yll014w",66.4693268800578,-79.671830366436
NA,NA,NA,NA,"yjl202c","yjl202c","ORF","53943-54290","-","X","yjl202c",66.5349537351687,-77.0389776837727
NA,NA,NA,NA,"ykr047w","ykr047w","ORF","525257-525562","+","XI","ykr047w",66.959669704192,15.5589544304524
NA,NA,NA,NA,"yor335w-a","yor335w-a","ORF","946568-946648","+","XV","yor335w-a",67.0479978296535,-297.57670298553
NA,NA,NA,NA,"ecl1","ygr146c","ORF","784223-784858","-","VII","ygr146c",67.0565966447989,-91.0393782457817
"lcl2",0,1,0,"lcl2","ylr104w","ORF","346585-346980","+","XII","ylr104w",67.1611840349964,-71.7081573532423
NA,NA,NA,NA,"ask1","ykl052c","ORF","339668-340546","-","XI","ykl052c",67.2136881568149,-68.556755585889
NA,NA,NA,NA,"atg32","yil146c","ORF","74184-75773","-","IX","yil146c",67.2721458442272,-68.9104265899755
NA,NA,NA,NA,"rpo26","ypr187w","ORF","911257-911800","+","XVI","ypr187w",67.3200219071455,-259.803017372135
NA,NA,NA,NA,"cos6","ygr295c","ORF","1081584-1082729","-","VII","ygr295c",67.6107715255986,-1.2964347522092
NA,NA,NA,NA,"vma11","ypl234c","ORF","104946-105440","-","XVI","ypl234c",67.6347766867086,-62.5150808311054
NA,NA,NA,NA,"grx5","ypl059w","ORF","444579-445031","+","XVI","ypl059w",68.0360653960231,29.0198734914292
NA,NA,NA,NA,"mso1","ynr049c","ORF","713023-713655","-","XIV","ynr049c",68.1124231251383,-65.3020913898748
NA,NA,NA,NA,"ypt10","ybr264c","ORF","737770-738369","-","II","ybr264c",68.1698751734228,-57.7448500748319
NA,NA,NA,NA,"slx5","ydl013w","ORF","429067-430926","+","IV","ydl013w",68.2614497485456,-52.8772488581394
NA,NA,NA,NA,"cog7","ygl005c","ORF","489708-490547","-","VII","ygl005c",68.5729258839643,-18.6643555019957
NA,NA,NA,NA,"tir4","yor009w","ORF","344335-345798","+","XV","yor009w",68.5935293051083,-87.065696841999
NA,NA,NA,NA,"hrt1","yol133w","ORF","70325-70690","+","XV","yol133w",68.6262124921263,17.6645128220783
NA,NA,NA,NA,"ypr169w-a","ypr169w-a","ORF","883239-883457","+","XVI","ypr169w-a",68.6750410826897,7.15205503724224
NA,NA,NA,NA,"shu2","ydr078c","ORF","602198-602869","-","IV","ydr078c",68.9842371764362,-77.736713200305
"add37",0,0,1,"add37","ymr184w","ORF","628189-628785","+","XIII","ymr184w",68.9897427382633,-43.5647925115395
NA,NA,NA,NA,"nar1","ynl240c","ORF","198502-199977","-","XIV","ynl240c",69.1244537454863,-75.6718817230085
NA,NA,NA,NA,"mhf1","yol086w-a","ORF","159173-159445","+","XV","yol086w-a",69.1357359201701,1.06096751962427
NA,NA,NA,NA,"ade8","ydr408c","ORF","1288215-1288859","-","IV","ydr408c",69.4726714816252,-50.7517467641667
NA,NA,NA,NA,"mrp7","ynl005c","ORF","621313-622428","-","XIV","ynl005c",69.552018716901,-48.7635719627873
NA,NA,NA,NA,"erg27","ylr100w","ORF","341810-342853","+","XII","ylr100w",69.5833906886552,-55.564897451523
NA,NA,NA,NA,"cot1","yor316c","ORF","906236-907555","-","XV","yor316c",69.6231743536678,-55.0603889316321
NA,NA,NA,NA,"ecm19","ylr390w","ORF","903066-903404","+","XII","ylr390w",69.7810791819741,-66.8008847695587
NA,NA,NA,NA,"phm6","ydr281c","ORF","1022007-1022321","-","IV","ydr281c",69.8376089101819,-122.984236270815
NA,NA,NA,NA,"opy1","ybr129c","ORF","494353-495339","-","II","ybr129c",69.9079992374863,-60.1830869895973
NA,NA,NA,NA,"css3","yol159c","ORF","17281-17796","-","XV","yol159c",70.0036913998398,-51.0384592412877
NA,NA,NA,NA,"yjl077w-b","yjl077w-b","ORF","294047-294145","+","X","yjl077w-b",70.0242997839162,-72.6554785900248
NA,NA,NA,NA,"med2","ydl005c","ORF","441014-442309","-","IV","ydl005c",70.1474748073838,-42.2907371762264
NA,NA,NA,NA,"ydr157w","ydr157w","ORF","769931-770332","+","IV","ydr157w",70.2257167443157,-91.9959546042132
NA,NA,NA,NA,"erv1","ygr029w","ORF","543553-544205","+","VII","ygr029w",70.2598705795153,-67.7415251550124
NA,NA,NA,NA,"gsp1","ylr293c","ORF","720771-721430","-","XII","ylr293c",70.6813103683105,-790.696520539953
NA,NA,NA,NA,"yhr130c","yhr130c","ORF","364965-365300","-","VIII","yhr130c",70.6875959656529,-89.3370189777874
NA,NA,NA,NA,"meh1","ykr007w","ORF","451434-451988","+","XI","ykr007w",71.2034385702242,-68.6761427517526
NA,NA,NA,NA,"mak31","ycr020c-a","ORF","154830-155096","-","III","ycr020c-a",71.2438123003004,-41.6553952099599
NA,NA,NA,NA,"icy1","ymr195w","ORF","654034-654417","+","XIII","ymr195w",71.3462584339469,-14.8613063502149
NA,NA,NA,NA,"irc2","ydr112w","ORF","679544-679852","+","IV","ydr112w",71.465429240633,-41.1932519405443
NA,NA,NA,NA,"mrpl40","ypl173w","ORF","223143-224036","+","XVI","ypl173w",71.9103913857359,-88.2636865580321
NA,NA,NA,NA,"mtr2","ykl186c","ORF","92744-93298","-","XI","ykl186c",72.0102053031602,-18.0168676311302
NA,NA,NA,NA,"sam2","ydr502c","ORF","1453310-1454464","-","IV","ydr502c",72.08795064492,-195.779788126789
NA,NA,NA,NA,"smx3","ypr182w","ORF","900194-900454","+","XVI","ypr182w",72.6155415677987,-47.33231351927
NA,NA,NA,NA,"tlg2","yol018c","ORF","290881-292074","-","XV","yol018c",72.6535577600476,-50.3158027420731
NA,NA,NA,NA,"mob1","yil106w","ORF","166415-167444","+","IX","yil106w",72.8655226830155,-44.5055606691044
"bna2",0,1,0,"bna2","yjr078w","ORF","578860-580221","+","X","yjr078w",73.3638122066877,-66.1128578120105
"ups2",0,0,1,"ups2","ylr168c","ORF","499578-500270","-","XII","ylr168c",73.5622468675833,-63.2479900739341
NA,NA,NA,NA,"yjl032w","yjl032w","ORF","386348-386662","+","X","yjl032w",73.5975510669802,-65.8605025787752
NA,NA,NA,NA,"yol035c","yol035c","ORF","258803-259105","-","XV","yol035c",73.7346558842255,-79.7034296723552
NA,NA,NA,NA,"mlc2","ypr188c","ORF","911988-912479","-","XVI","ypr188c",73.7646718046904,-90.7733756259235
"pre9",0,0,1,"pre9","ygr135w","ORF","761392-762168","+","VII","ygr135w",73.9471393330583,-72.1424719207584
NA,NA,NA,NA,"sdh7","ydr511w","ORF","1470017-1470418","+","IV","ydr511w",74.1095296338839,-28.8584481847194
NA,NA,NA,NA,"ydr008c","ydr008c","ORF","462252-462602","-","IV","ydr008c",74.3471475140068,15.6194303139416
NA,NA,NA,NA,"ltp1","ypr073c","ORF","691933-692418","-","XVI","ypr073c",74.5745402077,-69.5857813065146
NA,NA,NA,NA,"mrpl1","ydr116c","ORF","682724-683581","-","IV","ydr116c",74.845890591845,-63.7535698916544
NA,NA,NA,NA,"lip5","yor196c","ORF","715593-716837","-","XV","yor196c",74.9999570168062,-88.3697799853316
NA,NA,NA,NA,"isa1","yll027w","ORF","87403-88155","+","XII","yll027w",75.5546806137555,-12.0514608239645
NA,NA,NA,NA,"yjr011c","yjr011c","ORF","458641-459426","-","X","yjr011c",75.8144575684192,-70.4756459236769
NA,NA,NA,NA,"hsk3","ykl138c-a","ORF","184803-185012","-","XI","ykl138c-a",75.916660783768,-110.140053005573
NA,NA,NA,NA,"bet1","yil004c","ORF","347946-348505","-","IX","yil004c",76.1101176352055,-44.6128002806662
NA,NA,NA,NA,"ynl266w","ynl266w","ORF","144245-144664","+","XIV","ynl266w",76.3601463050582,-52.7912663019966
NA,NA,NA,NA,"ups1","ylr193c","ORF","540009-540536","-","XII","ylr193c",76.7215133453218,-7.28027179192727
NA,NA,NA,NA,"vps69","ypr087w","ORF","711354-711674","+","XVI","ypr087w",76.9281803529335,-70.2177177546598
NA,NA,NA,NA,"yjr018w","yjr018w","ORF","466786-467148","+","X","yjr018w",76.956250767063,-50.9998546426124
NA,NA,NA,NA,"ydr426c","ydr426c","ORF","1321629-1322006","-","IV","ydr426c",77.0261850142966,-65.4210393959704
"ypt7",0,0,1,"ypt7","yml001w","ORF","267174-267800","+","XIII","yml001w",77.1528017882508,-63.3648052959913
NA,NA,NA,NA,"sna2","ydr525w-a","ORF","1490596-1490835","+","IV","ydr525w-a",77.3828929501958,23.0246407343409
NA,NA,NA,NA,"mrpl51","ypr100w","ORF","729791-730213","+","XVI","ypr100w",77.8322140214002,-16.3231600331317
NA,NA,NA,NA,"ybl029c-a","ybl029c-a","ORF","164488-164772","-","II","ybl029c-a",77.8929193407401,61.0945428913225
NA,NA,NA,NA,"apn1","ykl114c","ORF","223352-224455","-","XI","ykl114c",77.9045681251229,-107.042896073
NA,NA,NA,NA,"det1","ydr051c","ORF","557056-558060","-","IV","ydr051c",77.9339140909386,-67.858493521176
NA,NA,NA,NA,"ykl077w","ykl077w","ORF","291453-292631","+","XI","ykl077w",78.0101579093583,-122.450943415704
NA,NA,NA,NA,"sec62","ypl094c","ORF","369839-370663","-","XVI","ypl094c",78.3078928492973,-173.605153824249
NA,NA,NA,NA,"rnh203","ylr154c","ORF","447982-448314","-","XII","ylr154c",78.4254226499542,-71.051792970659
NA,NA,NA,NA,"fip1","yjr093c","ORF","603220-604203","-","X","yjr093c",78.5346994175199,-88.5036950740404
"mum2",0,1,0,"mum2","ybr057c","ORF","352193-353293","-","II","ybr057c",78.7147138850821,-52.5070023510596
"yuh1",0,0,1,"yuh1","yjr099w","ORF","615576-616286","+","X","yjr099w",78.9381492943771,-73.2897816241333
NA,NA,NA,NA,"yor041c","yor041c","ORF","408358-408789","-","XV","yor041c",79.1714681628687,-48.6770126906158
NA,NA,NA,NA,"rib5","ybr256c","ORF","727386-728102","-","II","ybr256c",79.1844548384506,57.4979452891644
NA,NA,NA,NA,"can1","yel063c","ORF","31694-33466","-","V","yel063c",79.3895317555804,-160.294916662066
NA,NA,NA,NA,"aps3","yjl024c","ORF","395931-396592","-","X","yjl024c",79.6339756619815,-58.2774230488416
NA,NA,NA,NA,"erg2","ymr202w","ORF","667537-668205","+","XIII","ymr202w",79.7070015251339,-200.733427649318
"rpp2b",0,1,0,"rpp2b","ydr382w","ORF","1239492-1239824","+","IV","ydr382w",79.9960553581664,-853.511037782439
NA,NA,NA,NA,"sdd2","ymr074c","ORF","413036-413473","-","XIII","ymr074c",80.0322159731496,-38.064101548288
NA,NA,NA,NA,"dad3","ybr233w-a","ORF","684977-685261","+","II","ybr233w-a",80.1749482332856,-85.4175277070247
NA,NA,NA,NA,"vcx1","ydl128w","ORF","232652-233887","+","IV","ydl128w",80.271699882385,-33.6495441151769
NA,NA,NA,NA,"yju3","ykl094w","ORF","263349-264290","+","XI","ykl094w",80.318582274844,-4.39155791794818
NA,NA,NA,NA,"rpb11","yol005c","ORF","315813-316175","-","XV","yol005c",80.4153118422166,-91.2332966311083
NA,NA,NA,NA,"eaf6","yjr082c","ORF","581914-582255","-","X","yjr082c",80.6929191504524,-62.7192878909649
NA,NA,NA,NA,"yil156w-a","yil156w-a","ORF","47292-47693","+","IX","yil156w-a",80.9246512614889,-6.35578977560047
"sec66",0,0,1,"sec66","ybr171w","ORF","578364-578984","+","II","ybr171w",81.0051059046624,-153.480115935217
NA,NA,NA,NA,"ndl1","ylr254c","ORF","644404-644973","-","XII","ylr254c",81.0224343517924,-89.9779612100432
"pdx3",0,1,0,"pdx3","ybr035c","ORF","306269-306955","-","II","ybr035c",81.1816618613768,47.3688872342255
NA,NA,NA,NA,"ybr190w","ybr190w","ORF","605966-606277","+","II","ybr190w",81.2100064994435,-146.755259048242
NA,NA,NA,NA,"aim4","ybr194w","ORF","610038-610409","+","II","ybr194w",81.2766860978897,-65.2798180291733
NA,NA,NA,NA,"img2","ycr071c","ORF","240103-240543","-","III","ycr071c",81.396990461424,-78.2682410686231
"hap3",0,0,1,"hap3","ybl021c","ORF","181660-182094","-","II","ybl021c",81.4215588996302,-118.649944364224
NA,NA,NA,NA,"ylr101c","ylr101c","ORF","342566-342961","-","XII","ylr101c",81.4979971980696,-44.0171555866302
NA,NA,NA,NA,"ylr171w","ylr171w","ORF","500733-501122","+","XII","ylr171w",81.8063359022452,-78.6372956939256
NA,NA,NA,NA,"yal045c","yal045c","ORF","57488-57796","-","I","yal045c",82.3010536397838,-41.0858011765226
NA,NA,NA,NA,"mic19","yfr011c","ORF","166746-167258","-","VI","yfr011c",82.3957607880034,-58.1938522801357
NA,NA,NA,NA,"mrpl37","ybr268w","ORF","741299-741616","+","II","ybr268w",82.6052244336844,-78.8507502684531
NA,NA,NA,NA,"rpl16a","yil133c","ORF","98527-99416","-","IX","yil133c",82.7196766515123,-643.975211563244
NA,NA,NA,NA,"pex34","ycl056c","ORF","26925-27359","-","III","ycl056c",82.7965354268825,-87.4471794786121
NA,NA,NA,NA,"slu7","ydr088c","ORF","618497-619645","-","IV","ydr088c",82.913860006213,-85.5037388744569
NA,NA,NA,NA,"rps9b","ybr189w","ORF","604508-605508","+","II","ybr189w",82.946641550996,-551.793883365277
"rps21b",0,0,1,"rps21b","yjl136c","ORF","156550-157273","-","X","yjl136c",82.9987460167365,-687.532014874579
NA,NA,NA,NA,"tuf1","yor187w","ORF","684030-685343","+","XV","yor187w",83.0030876816448,92.0825523140658
NA,NA,NA,NA,"sur2","ydr297w","ORF","1056551-1057600","+","IV","ydr297w",83.1083072175992,-107.20401080596
NA,NA,NA,NA,"ysy6","ybr162w-a","ORF","565231-565428","+","II","ybr162w-a",83.1380679887796,-83.4971960023112
NA,NA,NA,NA,"cbr1","yil043c","ORF","274072-274926","-","IX","yil043c",83.3408750607548,-65.0370817687471
NA,NA,NA,NA,"img1","ycr046c","ORF","209914-210423","-","III","ycr046c",83.3976050388074,-81.0749661051647
NA,NA,NA,NA,"tpt1","yol102c","ORF","125997-126689","-","XV","yol102c",83.6334267942894,-101.230919231452
"qri5",0,0,1,"qri5","ylr204w","ORF","552270-552605","+","XII","ylr204w",84.2022225643207,-35.8890668333991
